type,title,category,day,folder,tags,summary,publish
text,Momentum Monday,mental_fitness,monday,Momentum Monday,goals;week;focus,"Focus on winning the next point rather than winning the match. Prompts: How are you feeling (1-10)? How can I get that score up by the end of the week? What are your three main goals for the week? What actions am I going to take to make them happen? What actions will I take to start the week strong? A promise I'm making myself. What am I excited for this week?",false
text,Talking Tuesday,mental_fitness,tuesday,Talking Tuesday,connection;relationships,"Strengthen connection. Prompts: Who have I not spoken to in a while that I should reach out to? Who deserves a shout-out or a thank you? Is there a conversation I need to have with someone? Is there anyone I can get in touch with to help me? Tell at least one friend or family member you love them. What's one hard thing I can do that I will benefit from?",false
text,Workout Wednesday,physical_fitness,wednesday,Workout Wednesday,movement;exercise,"Movement is medicine. Track running PB (current/target) and gym exercise PB (current/target). Prompts: What exercise am I doing today? How does my body feel today (physically and mentally)? How has my exercise been this week? What exercise do I have planned for the rest of the week? Do I want to improve anything from exercise both physically and mentally?",false
text,Thursday Thoughts,mental_fitness,thursday,Thursday Thoughts,reflection;learning,"A moment to pause, reflect and learn (carries a rotating weekly quote). Prompts: How is this week going? What has gone well this week? What emotions have I felt most this week? What did this week teach me? What has helped me this week? What would make today a win? What did I do yesterday that I'm proud of? What's one thing I've been avoiding that I know would make my life better if I finally got it done?",false
text,Feel Good Friday,mental_fitness,friday,Feel Good Friday,wins;gratitude;kindness,"Ending the week on a positive. Prompts: Did you achieve your goals from Monday (yes/partially/no)? What went well? What can I do better next week? What are your three big wins for the week? What am I most proud of this week? What is the most fun I've had this week? What are my plans for the weekend? How good do I feel today (1-10)? Random act of kindness - what did I do today? Give someone a compliment - who and what did I say?",false
text,Set Up Sunday,mental_fitness,sunday,Set Up Sunday,planning;rest,"Prepare with intention, then fully switch off. Prompts: What can I plan or prepare to set up a good start to Monday? Is there one task I can do which will make Monday feel easier? Now, relax and enjoy your Sunday.",false
text,Morning Routine,mental_fitness,,Daily Routines,routine;morning,"Win the morning, win the day. How did I sleep (1-10)? Stay off your phone for 30 minutes in the morning. Hydration - a large glass of water BEFORE your morning coffee. Checklist: morning walk, breath work, cold dip/shower. Power List - write the day's priority tasks.",false
text,Night Time Routine,mental_fitness,,Daily Routines,routine;night;gratitude,"Reflect, reset and prepare for a better tomorrow. Checklist: no phone one hour before bed, hot bath/shower. Gratitude - what's the one thing I'm grateful for today? Highlight - what was the highlight of my day? Reflection - rate my day (1-10). Looking ahead - what am I looking forward to tomorrow? Tomorrow is a new day, rest up and go again.",false
text,STAND Fundamentals Checklist,mental_fitness,,Daily Routines,stand;fundamentals;discipline,"Your daily non-negotiables. Daily ticks: Hydration (water), Step count, Alcohol free, Healthy food. STAND: S - Strength of connection (who did I connect with and talk to?); T - Try new things, learn and develop (what did I learn today?); A - Active lifestyle (what physical activity have I done today?); N - Notice the more, be present (what have I noticed today?); D - Do good for others (what have I done/given someone?).",false
text,The Law of Conformity,tools_tips,,Toolkit,mindset;environment,"Environment will always trump willpower. We adapt to the environment around us and become like the people we spend the most time with. Build an environment that challenges, holds you accountable, celebrates your growth, inspires, educates and supports you. You don't rise to the level of your goals - you fall to the level of your environment. Choose it on purpose.",false
text,The Law of Polarity,tools_tips,,Toolkit,mindset;resilience,"The opposites always exist - struggle/victory, storms/sunshine, pain/joy. Nothing is permanent, including the bad times (Romans 8:18). If you're in a dark headspace, keep going - there will be light. Embrace both sides of life; they shape you. This season won't last. The good times are coming.",false
text,Movement Changes Mindset,physical_fitness,,Toolkit,movement;brain,"Feel stuck? Move. After 20 minutes of walking the brain shows increased blood flow, oxygen and activity in areas linked to focus, mood and emotional regulation. Movement increases focus, boosts energy, improves mood, reduces stress and creates mental clarity. Move your body, clear your mind, strengthen your life.",false
